35361     ,  5872400728949.5,       6535,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a91, 0549a, 176ec, 1423a, 1754a, 00007, 1ffff, 00001, 00001, 1ff44, 01110, 00001, 00001, 00001, 000ce, 00001, 00001, 15e62, 09901, 00001, 0871f, 1f000, 08bc4, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35408     ,  5872509163446.0,       6475,   83886075, fffff, 4c88e, fffff, 4c001, 00ee8, 02377, 025a0, 025fa, 00638, 00721, 0f946, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35409     ,  5872524614297.0,   83886075,   83886075, fffff, 588c3, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35410     ,  5872524672342.5,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35411     ,  5872524730337.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35412     ,  5872524788337.0,       6495,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 10dea, 00f4f, 12001, 1ff35, 08000, 1fffc, 08000, 002a6, 1fff0, 00187, 002a6, 002a6, 00001, 00001, 1f801, 06516, 03c01, 00001, 00001, 04e85, 13600, 1ff0c, 00951, 00774, 00001, 0080a, 10dea, 1fa8b, 000a1, 001b4, fffff
35413     ,  5872525468396.0,       6530,   83886075, fffff, 4c8d4, fffff, 4c001, 1ffff, 00bed, 00bed, 03d50, 01c7d, 07408, 0000b, 00001, 00391, 173bc, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35414     ,  5872525728394.0,       6540,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a92, 0f848, 07339, 16d43, 175e0, 00007, 1ffff, 00001, 00001, 1feef, 010f0, 00001, 00001, 00001, 000ce, 00001, 00001, 15f4d, 09901, 00001, 0871f, 1f000, 08bc4, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35415     ,  5872526428493.5,       6440,   83886075, fffff, 4a84d, fffff, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35416     ,  5872526608494.5,       6505,       6440, 4a89f, 4c09e, 4c001, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35417     ,  5872540239228.5,   83886075,   83886075, fffff, 580ba, fffff, fffff, 00200, 101b6, 00f4f, 13f81, 1ff35, 020c5, 1fffc, 020c5, 00299, 00010, 00181, 00299, 00299, 00001, 00001, 00800, 06516, 04c00, 00001, 00001, 04e85, 12200, 15204, 09800, 00774, 00001, 00001, 00001, 00100, fffff, fffff, fffff
35418     ,  5872540877266.0,   83886075,   83886075, fffff, 58103, fffff, fffff, 02000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35419     ,  5872540955267.5,   83886075,   83886075, fffff, 58913, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35420     ,  5872541013267.5,   83886075,   83886075, fffff, 58983, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35421     ,  5872541071260.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35422     ,  5872541129263.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35423     ,  5872541187260.0,       6470,   83886075, fffff, 44804, fffff, 44000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35424     ,  5872541247224.0,       6510,       6510, 48858, 46058, 46001, 48000, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35425     ,  5872541591726.0,   83886075,   83886075, 468c5, 47044, fffff, 46001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35426     ,  5872555864159.0,   83886075,   83886075, fffff, 58142, fffff, fffff, 02000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35427     ,  5872555942198.5,   83886075,   83886075, fffff, 58957, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35428     ,  5872556000238.5,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35429     ,  5872556058298.5,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35430     ,  5872556116338.5,       6505,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 11195, 00f4f, 14001, 1ff35, 0a001, 1fffc, 08000, 002aa, 1ffe7, 00187, 002aa, 002aa, 00001, 00001, 1f801, 06516, 03800, 00001, 00001, 04e85, 13a00, 1ff0c, 00951, 00774, 00001, 0080a, 11195, 1faaa, 1ff77, 001bb, fffff
35431     ,  5872556796358.5,       6485,   83886075, fffff, 4e8a2, fffff, 4e000, 0186b, 0000b, 00001, 00001, 021bc, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 1fd98, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35432     ,  5872557196356.5,       6485,   83886075, fffff, 4f8a6, fffff, 4f001, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 010a3, 0175b, 02a1e, 01fff, 00299, 0000d, 00040, 00007, 1ffbb, 0114f, 00643, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35433     ,  5872557636356.0,       6485,   83886075, fffff, 440c3, fff00, 44000, 10000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35434     ,  5872571489091.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35435     ,  5872571547129.0,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35436     ,  5872571605169.5,       6480,   83886075, fffff, 4c88e, fffff, 4c001, 00ee8, 02377, 025a0, 025fa, 00640, 00721, 0f946, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35437     ,  5872571805186.5,   83886075,   83886075, fffff, 570bc, fffff, fffff, 02be5, 0f661, 10a12, 00001, 00865, 1d111, 02b3d, 00c13, 184b7, 00001, 00001, 00001, 00001, 00001, 000c8, 00001, 00001, 00001, 02000, 00002, 00001, 00001, 00001, 00001, 00001, 00001, 04000, 00001, 00080, 00080, fffff, fffff
